<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00005336	갖고	갖/VV + 고/EC
BTHO0394-00005337	있는	있/VX + 는/ETM
BTHO0394-00005338	특징을	특징/NNG + 을/JKO
BTHO0394-00005339	거의	거의/MAG
BTHO0394-00005340	모두	모두/MAG
BTHO0394-00005341	망라하고	망라/NNG + 하/XSV + 고/EC
BTHO0394-00005342	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00005343	이를	이/NP + 를/JKO
BTHO0394-00005344	다시	다시/MAG
BTHO0394-00005345	요약하면	요약/NNG + 하/XSV + 면/EC
BTHO0394-00005346	다음과	다음/NNG + 과/JKB
BTHO0394-00005347	같다.	같/VA + 다/EF + ./SF
</p>
<p>
BTHO0394-00005348	첫째,	첫째/NR + ,/SP
BTHO0394-00005349	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005350	대한	대하/VV + ᆫ/ETM
BTHO0394-00005351	지원	지원/NNG
BTHO0394-00005352	특히	특히/MAG
BTHO0394-00005353	순수기초연구에	순수/NNG + 기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005354	대한	대하/VV + ᆫ/ETM
BTHO0394-00005355	지원을	지원/NNG + 을/JKO
BTHO0394-00005356	강화해야	강화/NNG + 하/XSV + 아야/EC
BTHO0394-00005357	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005358	이를	이/NP + 를/JKO
BTHO0394-00005359	위해	위하/VV + 아/EC
BTHO0394-00005360	연방연구자금의	연방/NNG + 연구/NNG + 자금/NNG + 의/JKG
BTHO0394-00005361	우선	우선/MAG
BTHO0394-00005362	순위는	순위/NNG + 는/JX
BTHO0394-00005363	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005364	두어야	두/VV + 어야/EC
BTHO0394-00005365	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005366	둘째,	둘째/NR + ,/SP
BTHO0394-00005367	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005368	있어서	있/VV + 어서/EC
BTHO0394-00005369	개인의	개인/NNG + 의/JKG
BTHO0394-00005370	역할을	역할/NNG + 을/JKO
BTHO0394-00005371	매우	매우/MAG
BTHO0394-00005372	중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF
</p>
<p>
BTHO0394-00005373	셋째,	셋째/NR + ,/SP
BTHO0394-00005374	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005375	있어서	있/VV + 어서/EC
BTHO0394-00005376	혁신과	혁신/NNG + 과/JC
BTHO0394-00005377	창의성은	창의/NNG + 성/XSN + 은/JX
BTHO0394-00005378	필수적이므로	필수/NNG + 적/XSN + 이/VCP + 므로/EC
BTHO0394-00005379	연방정부는	연방/NNG + 정부/NNG + 는/JX
BTHO0394-00005380	창의적이고	창의/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005381	모험적인	모험/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00005382	연구에	연구/NNG + 에/JKB
BTHO0394-00005383	대한	대하/VV + ᆫ/ETM
BTHO0394-00005384	지원을	지원/NNG + 을/JKO
BTHO0394-00005385	강화하여야	강화/NNG + 하/XSV + 아야/EC
BTHO0394-00005386	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005387	넷째,	넷째/NR + ,/SP
BTHO0394-00005388	기초연구를	기초/NNG + 연구/NNG + 를/JKO
BTHO0394-00005389	지원함에	지원/NNG + 하/XSV + ᄆ/ETN + 에/JKB
BTHO0394-00005390	있어서	있/VV + 어서/EC
BTHO0394-00005391	모든	모든/MM
BTHO0394-00005392	학문분야의	학문/NNG + 분야/NNG + 의/JKG
BTHO0394-00005393	연구를	연구/NNG + 를/JKO
BTHO0394-00005394	광범위하게	광범위/NNG + 하/XSA + 게/EC
BTHO0394-00005395	지원하는	지원/NNG + 하/XSV + 는/ETM
BTHO0394-00005396	것은	것/NNB + 은/JX
BTHO0394-00005397	매우	매우/MAG
BTHO0394-00005398	중요하며,	중요/NNG + 하/XSA + 며/EC + ,/SP
BTHO0394-00005399	일부	일부/NNG
BTHO0394-00005400	분야나	분야/NNG + 나/JC
BTHO0394-00005401	혹은	혹은/MAG
BTHO0394-00005402	일부	일부/NNG
BTHO0394-00005403	분야에만	분야/NNG + 에/JKB + 만/JX
BTHO0394-00005404	관련된	관련/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005405	과도한	과도/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005406	강조는	강조/NNG + 는/JX
BTHO0394-00005407	배제되어야	배제/NNG + 되/XSV + 어야/EC
BTHO0394-00005408	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005409	다섯째,	다섯째/NR + ,/SP
BTHO0394-00005410	연방정부가	연방/NNG + 정부/NNG + 가/JKS
BTHO0394-00005411	지원하는	지원/NNG + 하/XSV + 는/ETM
BTHO0394-00005412	순수기초연구는	순수/NNG + 기초/NNG + 연구/NNG + 는/JX
BTHO0394-00005413	연방정부	연방/NNG + 정부/NNG
BTHO0394-00005414	연구비의	연구비/NNG + 의/JKG
BTHO0394-00005415	제한된	제한/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005416	부분에	부분/NNG + 에/JKB
BTHO0394-00005417	국한된다.	국한/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005418	많은	많/VA + 은/ETM
BTHO0394-00005419	연방정부	연방/NNG + 정부/NNG
BTHO0394-00005420	연구비는	연구비/NNG + 는/JX
BTHO0394-00005421	정확히	정확히/MAG
BTHO0394-00005422	표현하면	표현/NNG + 하/XSV + 면/EC
BTHO0394-00005423	'목적기초연구(targeted	'/SS + 목적/NNG + 기초/NNG + 연구/NNG + (/SS + targeted/SL
BTHO0394-00005424	basic	basic/SL
BTHO0394-00005425	research)'이다.	research/SL + )/SS + '/SS + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005426	이를	이/NP + 를/JKO
BTHO0394-00005427	위해	위하/VV + 아/EC
BTHO0394-00005428	연방기관,	연방/NNG + 기관/NNG + ,/SP
BTHO0394-00005429	연구소	연구소/NNG
BTHO0394-00005430	등에서	등/NNB + 에서/JKB
BTHO0394-00005431	이루어지는	이루어지/VV + 는/ETM
BTHO0394-00005432	연구개발은	연구/NNG + 개발/NNG + 은/JX
BTHO0394-00005433	각	각/MM
BTHO0394-00005434	기관,	기관/NNG + ,/SP
BTHO0394-00005435	부처,	부처/NNG + ,/SP
BTHO0394-00005436	연구소의	연구소/NNG + 의/JKG
BTHO0394-00005437	임무와	임무/NNG + 와/JC
BTHO0394-00005438	밀접하게	밀접/NNG + 하/XSA + 게/EC
BTHO0394-00005439	관련된	관련/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005440	핵심적	핵심/NNG + 적/XSN
BTHO0394-00005441	프로그램에	프로그램/NNG + 에/JKB
BTHO0394-00005442	초점을	초점/NNG + 을/JKO
BTHO0394-00005443	맞추어야	맞추/VV + 어야/EC
BTHO0394-00005444	하며,	하/VX + 며/EC + ,/SP
BTHO0394-00005445	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00005446	핵심적	핵심/NNG + 적/XSN
BTHO0394-00005447	프로그램은	프로그램/NNG + 은/JX
BTHO0394-00005448	장기적이고	장기/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005449	위험성이	위험/NNG + 성/XSN + 이/JKS
BTHO0394-00005450	높으며	높/VA + 으며/EC
BTHO0394-00005451	비상업적이고	비/XPN + 상업/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005452	동시에	동시/NNG + 에/JKB
BTHO0394-00005453	과학적	과학/NNG + 적/XSN
BTHO0394-00005454	발견을	발견/NNG + 을/JKO
BTHO0394-00005455	위한	위하/VV + ᆫ/ETM
BTHO0394-00005456	커다란	커다랗/VA + ᆫ/ETM
BTHO0394-00005457	잠재력을	잠재력/NNG + 을/JKO
BTHO0394-00005458	갖고	갖/VV + 고/EC
BTHO0394-00005459	있어야	있/VX + 어야/EC
BTHO0394-00005460	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005461	결국,	결국/NNG + ,/SP
BTHO0394-00005462	미국이	미국/NNP + 이/JKS
BTHO0394-00005463	추구하고	추구/NNG + 하/XSV + 고/EC
BTHO0394-00005464	있는	있/VX + 는/ETM
BTHO0394-00005465	과학정책의	과학/NNG + 정책/NNG + 의/JKG
BTHO0394-00005466	기본방향은	기본/NNG + 방향/NNG + 은/JX
BTHO0394-00005467	'연방정부는	'/SS + 연방/NNG + 정부/NNG + 는/JX
BTHO0394-00005468	기초연구를	기초/NNG + 연구/NNG + 를/JKO
BTHO0394-00005469	우선적으로	우선/NNG + 적/XSN + 으로/JKB
BTHO0394-00005470	지원해야하며,	지원/NNG + 하/XSV + 아야/EC + 하/VX + 며/EC + ,/SP
BTHO0394-00005471	각	각/MM
BTHO0394-00005472	기관은	기관/NNG + 은/JX
BTHO0394-00005473	기관	기관/NNG
BTHO0394-00005474	고유목적의	고유/NNG + 목적/NNG + 의/JKG
BTHO0394-00005475	달성을	달성/NNG + 을/JKO
BTHO0394-00005476	위한	위하/VV + ᆫ/ETM
BTHO0394-00005477	연구개발	연구/NNG + 개발/NNG
BTHO0394-00005478	프로그램을	프로그램/NNG + 을/JKO
BTHO0394-00005479	수행하되	수행/NNG + 하/XSV + 되/EC
BTHO0394-00005480	장기적이고,	장기/NNG + 적/XSN + 이/VCP + 고/EC + ,/SP
BTHO0394-00005481	위험성이	위험/NNG + 성/XSN + 이/JKS
BTHO0394-00005482	높으며,	높/VA + 으며/EC + ,/SP
BTHO0394-00005483	비상업적이고	비/XPN + 상업/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005484	동시에	동시/NNG + 에/JKB
BTHO0394-00005485	과학적	과학/NNG + 적/XSN
BTHO0394-00005486	발견을	발견/NNG + 을/JKO
BTHO0394-00005487	위한	위하/VV + ᆫ/ETM
BTHO0394-00005488	잠재력을	잠재력/NNG + 을/JKO
BTHO0394-00005489	갖고	갖/VV + 고/EC
BTHO0394-00005490	있는	있/VX + 는/ETM
BTHO0394-00005491	목적기초연구를	목적/NNG + 기초/NNG + 연구/NNG + 를/JKO
BTHO0394-00005492	수행해야	수행/NNG + 하/XSV + 아야/EC
BTHO0394-00005493	한다'는	하/VX + ᆫ다/EC + '/SS + 는/ETM
BTHO0394-00005494	것으로	것/NNB + 으로/JKB
BTHO0394-00005495	요약될	요약/NNG + 되/XSV + ᆯ/ETM
BTHO0394-00005496	수	수/NNB
BTHO0394-00005497	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0394-00005498	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00005499	과학정책에	과학/NNG + 정책/NNG + 에/JKB
BTHO0394-00005500	의해	의하/VV + 아/EC
BTHO0394-00005501	이루어진	이루어지/VV + ᆫ/ETM
BTHO0394-00005502	생명공학	생명/NNG + 공학/NNG
BTHO0394-00005503	및	및/MAG
BTHO0394-00005504	정보통신	정보/NNG + 통신/NNG
BTHO0394-00005505	연구에	연구/NNG + 에/JKB
BTHO0394-00005506	대한	대하/VV + ᆫ/ETM
BTHO0394-00005507	집중적인	집중/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00005508	투자가	투자/NNG + 가/JKS
BTHO0394-00005509	오늘날의	오늘날/NNG + 의/JKG
BTHO0394-00005510	미국	미국/NNP
BTHO0394-00005511	경쟁력을	경쟁력/NNG + 을/JKO
BTHO0394-00005512	유지하는	유지/NNG + 하/XSV + 는/ETM
BTHO0394-00005513	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005514	기반이	기반/NNG + 이/JKC
BTHO0394-00005515	되고	되/VV + 고/EC
BTHO0394-00005516	있는데,	있/VX + 는데/EC + ,/SP
BTHO0394-00005517	이는	이/NP + 는/JX
BTHO0394-00005518	연구가	연구/NNG + 가/JKS
BTHO0394-00005519	수행되는	수행/NNG + 되/XSV + 는/ETM
BTHO0394-00005520	당시보다	당시/NNG + 보다/JKB
BTHO0394-00005521	미래에	미래/NNG + 에/JKB
BTHO0394-00005522	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005523	활용이	활용/NNG + 이/JKS
BTHO0394-00005524	예상되는	예상/NNG + 되/XSV + 는/ETM
BTHO0394-00005525	기초지식의	기초/NNG + 지식/NNG + 의/JKG
BTHO0394-00005526	추구에	추구/NNG + 에/JKB
BTHO0394-00005527	초점을	초점/NNG + 을/JKO
BTHO0394-00005528	맞추는	맞추/VV + 는/ETM
BTHO0394-00005529	'목적기초연구'를	'/SS + 목적/NNG + 기초/NNG + 연구/NNG + '/SS + 를/JKO
BTHO0394-00005530	수행한	수행/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00005531	결과인	결과/NNG + 이/VCP + ᆫ/ETM
BTHO0394-00005532	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<head>
BTHO0394-00005533	4.2	4/SN + ./SP + 2/SN
BTHO0394-00005534	경쟁과	경쟁/NNG + 과/JC
BTHO0394-00005535	연구지원기관의	연구/NNG + 지원/NNG + 기관/NNG + 의/JKG
BTHO0394-00005536	역할	역할/NNG
</head>
<p>
BTHO0394-00005537	이제	이제/MAG
BTHO0394-00005538	경쟁과	경쟁/NNG + 과/JC
BTHO0394-00005539	연구지원기관이	연구/NNG + 지원/NNG + 기관/NNG + 이/JKS
BTHO0394-00005540	대학연구에	대학/NNG + 연구/NNG + 에/JKB
BTHO0394-00005541	미친	미치/VV + ᆫ/ETM
BTHO0394-00005542	효과에	효과/NNG + 에/JKB
BTHO0394-00005543	대해	대하/VV + 아/EC
BTHO0394-00005544	살펴보도록	살펴보/VV + 도록/EC
BTHO0394-00005545	하자.	하/VX + 자/EF + ./SF
</p>
<p>
BTHO0394-00005546	경쟁과	경쟁/NNG + 과/JC
BTHO0394-00005547	연구지원기관이	연구/NNG + 지원/NNG + 기관/NNG + 이/JKS
BTHO0394-00005548	기초연구의	기초/NNG + 연구/NNG + 의/JKG
BTHO0394-00005549	창의성에	창의/NNG + 성/XSN + 에/JKB
BTHO0394-00005550	미치는	미치/VV + 는/ETM
BTHO0394-00005551	효과를	효과/NNG + 를/JKO
BTHO0394-00005552	명확하게	명확/XR + 하/XSA + 게/EC
BTHO0394-00005553	구분하기는	구분/NNG + 하/XSV + 기/ETN + 는/JX
BTHO0394-00005554	어렵지만,	어렵/VA + 지만/EC + ,/SP
BTHO0394-00005555	경쟁적	경쟁/NNG + 적/XSN
BTHO0394-00005556	환경과	환경/NNG + 과/JC
BTHO0394-00005557	연구지원기관이	연구/NNG + 지원/NNG + 기관/NNG + 이/JKS
BTHO0394-00005558	창의성에	창의/NNG + 성/XSN + 에/JKB
BTHO0394-00005559	미치는	미치/VV + 는/ETM
BTHO0394-00005560	효과를	효과/NNG + 를/JKO
BTHO0394-00005561	강조하는	강조/NNG + 하/XSV + 는/ETM
BTHO0394-00005562	차원에서	차원/NNG + 에서/JKB
BTHO0394-00005563	굳이	굳이/MAG
BTHO0394-00005564	구분하여	구분/NNG + 하/XSV + 아/EC
BTHO0394-00005565	생각해	생각/NNG + 하/XSV + 아/EC
BTHO0394-00005566	보고자	보/VX + 고자/EC
BTHO0394-00005567	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005568	우선	우선/MAG
BTHO0394-00005569	경쟁이	경쟁/NNG + 이/JKS
BTHO0394-00005570	창의성에	창의/NNG + 성/XSN + 에/JKB
BTHO0394-00005571	미치는	미치/VV + 는/ETM
BTHO0394-00005572	효과에	효과/NNG + 에/JKB
BTHO0394-00005573	대해	대하/VV + 아/EC
BTHO0394-00005574	살펴보도록	살펴보/VV + 도록/EC
BTHO0394-00005575	하자.	하/VX + 자/EF + ./SF
</p>
<p>
BTHO0394-00005576	앞서	앞서/MAG
BTHO0394-00005577	살펴본	살펴보/VV + ᆫ/ETM
BTHO0394-00005578	바와	바/NNB + 와/JKB
BTHO0394-00005579	같이,	같이/MAG + ,/SP
BTHO0394-00005580	대학과	대학/NNG + 과/JC
BTHO0394-00005581	교수들은	교수/NNG + 들/XSN + 은/JX
BTHO0394-00005582	연구비	연구비/NNG
BTHO0394-00005583	특히,	특히/MAG + ,/SP
BTHO0394-00005584	연방정부의	연방/NNG + 정부/NNG + 의/JKG
BTHO0394-00005585	연구비를	연구비/NNG + 를/JKO
BTHO0394-00005586	확보하기	확보/NNG + 하/XSV + 기/ETN
BTHO0394-00005587	위해	위하/VV + 아/EC
BTHO0394-00005588	치열한	치열/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005589	경쟁을	경쟁/NNG + 을/JKO
BTHO0394-00005590	하고	하/VV + 고/EC
BTHO0394-00005591	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00005592	그런데,	그런데/MAJ + ,/SP
BTHO0394-00005593	연방연구비를	연방/NNG + 연구비/NNG + 를/JKO
BTHO0394-00005594	확보하기	확보/NNG + 하/XSV + 기/ETN
BTHO0394-00005595	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00005596	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005597	학술지에	학술지/NNG + 에/JKB
BTHO0394-00005598	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005599	논문을	논문/NNG + 을/JKO
BTHO0394-00005600	게재한	게재/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00005601	실적을	실적/NNG + 을/JKO
BTHO0394-00005602	가지고	가지/VV + 고/EC
BTHO0394-00005603	있어야	있/VX + 어야/EC
BTHO0394-00005604	하며,	하/VX + 며/EC + ,/SP
BTHO0394-00005605	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005606	논문이라는	논문/NNG + 이/VCP + 라는/ETM
BTHO0394-00005607	것은	것/NNB + 은/JX
BTHO0394-00005608	곧	곧/MAG
BTHO0394-00005609	그	그/MM
BTHO0394-00005610	연구가	연구/NNG + 가/JKS
BTHO0394-00005611	다른	다른/MM
BTHO0394-00005612	연구자들보다	연구자/NNG + 들/XSN + 보다/JKB
BTHO0394-00005613	한발	한발/MAG
BTHO0394-00005614	앞선	앞서/VV + ᆫ/ETM
BTHO0394-00005615	연구라는	연구/NNG + 이/VCP + 라는/ETM
BTHO0394-00005616	것을	것/NNB + 을/JKO
BTHO0394-00005617	의미한다.	의미/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005618	즉,	즉/MAG + ,/SP
BTHO0394-00005619	연구내용이	연구/NNG + 내용/NNG + 이/JKS
BTHO0394-00005620	보다	보다/MAG
BTHO0394-00005621	창의적이어야	창의/NNG + 적/XSN + 이/VCP + 어야/EC
BTHO0394-00005622	한다는	하/VX + ᆫ다는/ETM
BTHO0394-00005623	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005624	따라서,	따라서/MAJ + ,/SP
BTHO0394-00005625	경쟁은	경쟁/NNG + 은/JX
BTHO0394-00005626	연구자들의	연구자/NNG + 들/XSN + 의/JKG
BTHO0394-00005627	창의성을	창의/NNG + 성/XSN + 을/JKO
BTHO0394-00005628	최대한	최대한/NNG
BTHO0394-00005629	발휘하도록	발휘/NNG + 하/XSV + 도록/EC
BTHO0394-00005630	강요하고	강요/NNG + 하/XSV + 고/EC
BTHO0394-00005631	있는	있/VX + 는/ETM
BTHO0394-00005632	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005633	또한,	또한/MAG + ,/SP
BTHO0394-00005634	남들이	남/NNG + 들/XSN + 이/JKS
BTHO0394-00005635	생각하지	생각/NNG + 하/XSV + 지/EC
BTHO0394-00005636	않는	않/VX + 는/ETM
BTHO0394-00005637	분야,	분야/NNG + ,/SP
BTHO0394-00005638	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00005639	분야를	분야/NNG + 를/JKO
BTHO0394-00005640	개척해	개척/NNG + 하/XSV + 아/EC
BTHO0394-00005641	나가는	나가/VX + 는/ETM
BTHO0394-00005642	것이	것/NNB + 이/JKS
BTHO0394-00005643	끝없이	끝없이/MAG
BTHO0394-00005644	경쟁을	경쟁/NNG + 을/JKO
BTHO0394-00005645	해야하는	하/VV + 아야/EC + 하/VX + 는/ETM
BTHO0394-00005646	연구자들의	연구자/NNG + 들/XSN + 의/JKG
BTHO0394-00005647	입장에서도	입장/NNG + 에서/JKB + 도/JX
BTHO0394-00005648	매우	매우/MAG
BTHO0394-00005649	바람직한	바람직/XR + 하/XSA + ᆫ/ETM
BTHO0394-00005650	결과를	결과/NNG + 를/JKO
BTHO0394-00005651	가져올	가져오/VV + ᆯ/ETM
BTHO0394-00005652	수	수/NNB
BTHO0394-00005653	있는	있/VV + 는/ETM
BTHO0394-00005654	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005655	여러분이	여러분/NP + 이/JKS
BTHO0394-00005656	만약	만약/NNG
BTHO0394-00005657	끝없는	끝없/VA + 는/ETM
BTHO0394-00005658	경쟁에	경쟁/NNG + 에/JKB
BTHO0394-00005659	처해있다면,	처하/VV + 아/EC + 있/VX + 다면/EC + ,/SP
BTHO0394-00005660	당신은	당신/NP + 은/JX
BTHO0394-00005661	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0394-00005662	분야에서	분야/NNG + 에서/JKB
BTHO0394-00005663	연구를	연구/NNG + 를/JKO
BTHO0394-00005664	하겠는가?	하/VV + 겠/EP + 는가/EF + ?/SF
</p>
<p>
BTHO0394-00005665	여러	여러/MM
BTHO0394-00005666	사람이	사람/NNG + 이/JKS
BTHO0394-00005667	이미	이미/MAG
BTHO0394-00005668	선두를	선두/NNG + 를/JKO
BTHO0394-00005669	유지하고	유지/NNG + 하/XSV + 고/EC
BTHO0394-00005670	있는	있/VX + 는/ETM
BTHO0394-00005671	분야에서는	분야/NNG + 에서/JKB + 는/JX
BTHO0394-00005672	아무리	아무리/MAG
BTHO0394-00005673	애를	애/NNG + 를/JKO
BTHO0394-00005674	써도	쓰/VV + 어도/EC
BTHO0394-00005675	선두자리를	선두/NNG + 자리/NNG + 를/JKO
BTHO0394-00005676	빼앗기가	빼앗/VV + 기/ETN + 가/JKS
BTHO0394-00005677	쉽지	쉽/VA + 지/EC
BTHO0394-00005678	않을	않/VX + 을/ETM
BTHO0394-00005679	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005680	그렇다면,	그렇/VA + 다면/EC + ,/SP
BTHO0394-00005681	내가	내/NP + 가/JKS
BTHO0394-00005682	선두가	선두/NNG + 가/JKC
BTHO0394-00005683	될	되/VV + ᆯ/ETM
BTHO0394-00005684	수	수/NNB
BTHO0394-00005685	있도록	있/VV + 도록/EC
BTHO0394-00005686	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00005687	분야를	분야/NNG + 를/JKO
BTHO0394-00005688	만들려고	만들/VV + 려고/EC
BTHO0394-00005689	노력하지	노력/NNG + 하/XSV + 지/EC
BTHO0394-00005690	않을까?	않/VX + 을까/EF + ?/SF
</p>
<p>
BTHO0394-00005691	기존의	기존/NNG + 의/JKG
BTHO0394-00005692	이론을	이론/NNG + 을/JKO
BTHO0394-00005693	답습하기보다는	답습/NNG + 하/XSV + 기/ETN + 보다/JKB + 는/JX
BTHO0394-00005694	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00005695	영역을	영역/NNG + 을/JKO
BTHO0394-00005696	모색하고	모색/NNG + 하/XSV + 고/EC
BTHO0394-00005697	이를	이/NP + 를/JKO
BTHO0394-00005698	발전시키면	발전/NNG + 시키/XSV + 면/EC
BTHO0394-00005699	내가	내/NP + 가/JKS
BTHO0394-00005700	나만의	나/NP + 만/JX + 의/JKG
BTHO0394-00005701	독창적인	독창/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00005702	분야에서	분야/NNG + 에서/JKB
BTHO0394-00005703	선두를	선두/NNG + 를/JKO
BTHO0394-00005704	차지할	차지/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00005705	수	수/NNB
BTHO0394-00005706	있고,	있/VV + 고/EC + ,/SP
BTHO0394-00005707	나의	나/NP + 의/JKG
BTHO0394-00005708	영역을	영역/NNG + 을/JKO
BTHO0394-00005709	확보함으로써	확보/NNG + 하/XSV + ᄆ/ETN + 으로써/JKB
BTHO0394-00005710	해당	해당/NNG
BTHO0394-00005711	분야의	분야/NNG + 의/JKG
BTHO0394-00005712	선두주자로서의	선두/NNG + 주자/NNG + 로서/JKB + 의/JKG
BTHO0394-00005713	위치를	위치/NNG + 를/JKO
BTHO0394-00005714	확보할	확보/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00005715	수	수/NNB
BTHO0394-00005716	있을	있/VV + 을/ETM
BTHO0394-00005717	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005718	따라서	따라서/MAJ
BTHO0394-00005719	경쟁은	경쟁/NNG + 은/JX
BTHO0394-00005720	연구자들로	연구자/NNG + 들/XSN + 로/JKB
BTHO0394-00005721	하여금	하여금/MAG
BTHO0394-00005722	창의적이지	창의/NNG + 적/XSN + 이/VCP + 지/EC
BTHO0394-00005723	않으면	않/VX + 으면/EC
BTHO0394-00005724	살아남을	살아남/VV + 을/ETM
BTHO0394-00005725	수	수/NNB
BTHO0394-00005726	없도록	없/VA + 도록/EC
BTHO0394-00005727	하는	하/VV + 는/ETM
BTHO0394-00005728	환경을	환경/NNG + 을/JKO
BTHO0394-00005729	제공하고	제공/NNG + 하/XSV + 고/EC
BTHO0394-00005730	있는	있/VX + 는/ETM
BTHO0394-00005731	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005732	다음으로,	다음/NNG + 으로/JKB + ,/SP
BTHO0394-00005733	미국의	미국/NNP + 의/JKG
BTHO0394-00005734	연구지원기관들이	연구/NNG + 지원/NNG + 기관/NNG + 들/XSN + 이/JKS
BTHO0394-00005735	대학연구의	대학/NNG + 연구/NNG + 의/JKG
BTHO0394-00005736	창의성에	창의/NNG + 성/XSN + 에/JKB
BTHO0394-00005737	미친	미치/VV + ᆫ/ETM
